EventType,Rate
"D",13607,0.0
"D",13608,0.0
"D",13609,0.0
"D",13610,0.0
"D",13611,0.0
"D",13612,0.0
"D",13613,0.0
"D",13614,0.0
"D",13615,0.0
"D",13616,0.0
"D",13617,0.0
"D",13618,0.0
"D",13619,0.0
"D",13620,0.0
"D",13621,0.0
"D",13622,0.0
"D",13623,0.0
"D",13624,0.0
"D",13625,0.0
"D",13626,0.0
"D",13627,0.0
"D",13628,0.0
"D",13629,0.0
"D",13630,0.0
"D",13631,0.0
"D",13632,0.0
"D",13633,0.0
"D",13634,0.0
"D",13635,0.0
"D",13636,0.0
"D",13637,0.0
"D",13638,0.0
"D",13639,0.0
"D",13640,0.0
"D",13641,0.0
"D",13642,0.0
"D",13643,0.0
"D",13644,0.0
"D",13645,0.0
"D",13646,0.0
"D",13647,0.0
"D",13648,0.0
"D",13649,0.0
"D",13650,0.0
"D",13651,0.0
"D",13652,0.0
"D",13653,0.0
"D",13654,0.0
"D",13655,0.0
"D",13656,0.0
"D",13657,0.0
"D",13658,0.0
"D",13659,0.0
"D",13660,0.0
"D",13661,0.0
"D",13662,0.0
"D",13663,0.0
"D",13664,0.0
"D",13665,0.0
"D",13666,0.0
"D",13667,0.0
"D",13668,0.0
"D",13669,0.0
"D",13670,0.0
"D",13671,0.0
"D",13672,0.0
"D",13673,0.0
"D",13674,0.0
"D",13675,0.0
"D",13676,0.0
"D",13677,0.0
"D",13678,0.0
"D",13679,0.0
"D",13680,5.4
"D",13681,7.800000000000001
"D",13682,10.8
"D",13683,12.0
"D",13684,12.600000000000001
"D",13685,17.4
"D",13686,19.799999999999997
"D",13687,23.4
"D",13688,25.200000000000003
"D",13689,26.400000000000002
"D",13690,22.799999999999997
"D",13691,22.799999999999997
"D",13692,22.799999999999997
"D",13693,24.0
"D",13694,24.599999999999998
"D",13695,22.799999999999997
"D",13696,22.799999999999997
"D",13697,21.0
"D",13698,24.599999999999998
"D",13699,25.200000000000003
"D",13701,22.799999999999997
"D",13702,25.200000000000003
"D",13703,26.400000000000002
"D",13704,29.700000000000003
"D",13705,30.0
"D",13706,27.900000000000002
"D",13707,27.299999999999997
"D",13708,24.599999999999998
"D",13709,23.4
"D",13710,23.1
"D",13711,22.799999999999997
"D",13712,22.799999999999997
"D",13713,18.9
"D",13714,17.1
"D",13715,20.4
"D",13716,21.0
"D",13717,20.4
"D",13718,24.599999999999998
"D",13719,28.799999999999997
"D",13720,27.599999999999998
"D",13721,26.400000000000002
"D",13722,25.799999999999997
"D",13723,25.200000000000003
"D",13724,23.4
"D",13725,23.4
"D",13726,26.400000000000002
"D",13727,28.200000000000003
"D",13728,24.599999999999998
"D",13729,21.6
"D",13730,22.200000000000003
"D",13731,24.0
"D",13732,24.599999999999998
"D",13733,24.599999999999998
"D",13734,27.599999999999998
"D",13735,30.0
"D",13736,27.0
"D",13737,25.200000000000003
"D",13738,25.200000000000003
"D",13739,26.400000000000002
"D",13740,25.799999999999997
"D",13741,23.4
"D",13742,22.200000000000003
"D",13743,22.200000000000003
"D",13744,21.0
"D",13745,18.0
"D",13746,18.6
"D",13747,17.4
"D",13748,21.0
"D",13749,20.4
"D",13750,21.0
"D",13751,24.0
"D",13752,26.400000000000002
"D",13753,27.0
"D",13754,27.0
"D",13755,25.200000000000003
"D",13756,27.0
"D",13757,26.400000000000002
"D",13758,23.4
"D",13759,24.0
"D",13760,22.799999999999997
"D",13761,19.799999999999997
"D",13762,16.799999999999997
"D",13763,17.4
"D",13764,16.799999999999997
"D",13765,19.200000000000003
"D",13766,19.200000000000003
"D",13767,23.4
"D",13768,24.0
"D",13769,24.0
"D",13770,25.799999999999997
"D",13771,25.799999999999997
"D",13772,29.400000000000002
"D",13773,27.599999999999998
"D",13774,28.200000000000003
"D",13775,26.400000000000002
"D",13776,29.400000000000002
"D",13777,28.200000000000003
"D",13778,28.200000000000003
"D",13779,26.400000000000002
"D",13780,27.0
"D",13781,30.599999999999998
"D",13782,27.0
"D",13783,28.799999999999997
"D",13784,26.400000000000002
"D",13785,26.400000000000002
"D",13786,20.4
"D",13787,18.6
"D",13788,19.200000000000003
"D",13789,21.6
"D",13790,20.4
"D",13791,16.799999999999997
"D",13792,19.799999999999997
"D",13793,19.799999999999997
"D",13794,20.4
"D",13795,19.799999999999997
"D",13796,20.4
"D",13797,22.799999999999997
"D",13798,21.0
"D",13799,18.6
"D",13800,20.4
"D",13801,21.0
"D",13802,18.6
"D",13803,16.799999999999997
"D",13804,19.200000000000003
"D",13805,20.4
"D",13806,24.599999999999998
"D",13807,21.6
"D",13808,21.0
"D",13809,20.4
"D",13810,19.200000000000003
"D",13811,22.799999999999997
"D",13812,22.799999999999997
"D",13813,24.0
"D",13814,21.6
"D",13815,22.799999999999997
"D",13816,21.0
"D",13817,20.4
"D",13818,22.799999999999997
"D",13819,25.200000000000003
"D",13820,24.0
"D",13821,20.4
"D",13822,20.4
"D",13823,22.200000000000003
"D",13824,22.200000000000003
"D",13825,20.4
"D",13826,19.200000000000003
"D",13827,20.4
"D",13828,19.799999999999997
"D",13829,20.4
"D",13830,21.0
"D",13831,20.4
"D",13833,19.200000000000003
"D",13834,15.600000000000001
"D",13835,15.600000000000001
"D",13836,14.700000000000001
"D",13837,15.899999999999999
"D",13838,16.200000000000003
"D",13839,14.399999999999999
"D",13840,15.899999999999999
"D",13841,18.9
"D",13842,20.4
"D",13843,21.9
"D",13844,25.200000000000003
"D",13845,31.200000000000003
"D",13846,33.0
"D",13847,29.400000000000002
"D",13848,32.400000000000006
"D",13849,34.2
"D",13850,30.599999999999998
"D",13851,30.599999999999998
"D",13852,32.400000000000006
"D",13853,29.400000000000002
"D",13854,27.599999999999998
"D",13855,26.400000000000002
"D",13856,23.4
"D",13857,25.200000000000003
"D",13858,22.799999999999997
"D",13859,22.799999999999997
"D",13860,23.4
"D",13861,24.0
"D",13862,24.599999999999998
"D",13863,25.799999999999997
"D",13864,27.599999999999998
"D",13865,26.400000000000002
"D",13866,32.400000000000006
"D",13867,31.799999999999997
"D",13868,33.599999999999994
"D",13869,31.200000000000003
"D",13870,30.0
"D",13871,30.0
"D",13872,30.599999999999998
"D",13873,30.599999999999998
"D",13874,26.400000000000002
"D",13875,28.200000000000003
