EventType,Rate
"D",13608,0.0
"D",13609,0.0
"D",13610,0.0
"D",13611,0.0
"D",13612,0.0
"D",13613,0.0
"D",13614,0.0
"D",13615,0.0
"D",13616,0.0
"D",13617,0.0
"D",13618,0.0
"D",13619,0.0
"D",13620,0.0
"D",13621,0.0
"D",13622,0.0
"D",13623,0.0
"D",13624,0.0
"D",13625,0.0
"D",13626,0.0
"D",13627,0.0
"D",13628,0.0
"D",13629,0.0
"D",13630,0.0
"D",13631,0.0
"D",13632,0.0
"D",13633,0.0
"D",13634,0.0
"D",13635,0.0
"D",13636,0.0
"D",13637,0.0
"D",13638,0.0
"D",13639,0.0
"D",13640,0.0
"D",13641,0.0
"D",13642,0.0
"D",13643,0.0
"D",13644,0.0
"D",13645,0.0
"D",13646,0.0
"D",13647,0.0
"D",13648,0.0
"D",13649,0.0
"D",13650,0.0
"D",13651,0.0
"D",13652,0.0
"D",13653,0.0
"D",13654,0.0
"D",13655,0.0
"D",13656,0.0
"D",13657,0.0
"D",13658,0.0
"D",13659,0.0
"D",13660,0.0
"D",13661,0.0
"D",13662,0.0
"D",13663,0.0
"D",13664,0.0
"D",13665,0.0
"D",13666,0.0
"D",13667,0.0
"D",13668,0.0
"D",13669,0.0
"D",13670,0.0
"D",13671,0.0
"D",13672,0.0
"D",13673,0.0
"D",13674,0.0
"D",13675,0.0
"D",13676,0.0
"D",13677,0.0
"D",13678,0.0
"D",13679,0.0
"D",13680,3.0
"D",13681,6.0
"D",13682,7.199999999999999
"D",13683,9.0
"D",13684,10.2
"D",13685,10.8
"D",13686,13.799999999999999
"D",13687,18.0
"D",13688,20.4
"D",13689,24.0
"D",13690,21.0
"D",13691,19.799999999999997
"D",13692,20.4
"D",13693,21.6
"D",13694,24.599999999999998
"D",13695,25.799999999999997
"D",13696,25.200000000000003
"D",13697,24.0
"D",13698,25.799999999999997
"D",13700,24.0
"D",13701,26.700000000000003
"D",13702,26.700000000000003
"D",13703,25.200000000000003
"D",13704,24.599999999999998
"D",13705,23.4
"D",13706,23.4
"D",13707,25.200000000000003
"D",13708,22.799999999999997
"D",13709,22.200000000000003
"D",13710,23.4
"D",13711,21.6
"D",13712,21.0
"D",13713,20.4
"D",13714,22.799999999999997
"D",13715,24.0
"D",13716,21.6
"D",13717,22.799999999999997
"D",13718,22.200000000000003
"D",13719,21.6
"D",13720,22.200000000000003
"D",13721,23.4
"D",13722,28.200000000000003
"D",13723,28.200000000000003
"D",13724,27.0
"D",13725,26.400000000000002
"D",13726,27.0
"D",13727,25.799999999999997
"D",13728,26.400000000000002
"D",13729,25.799999999999997
"D",13730,25.799999999999997
"D",13731,25.200000000000003
"D",13732,21.6
"D",13733,26.400000000000002
"D",13734,31.200000000000003
"D",13735,30.0
"D",13736,31.200000000000003
"D",13737,30.599999999999998
"D",13738,31.200000000000003
"D",13739,28.200000000000003
"D",13740,25.200000000000003
"D",13741,22.200000000000003
"D",13742,22.200000000000003
"D",13743,18.6
"D",13744,20.4
"D",13745,24.0
"D",13746,22.799999999999997
"D",13747,24.599999999999998
"D",13748,25.799999999999997
"D",13749,28.799999999999997
"D",13750,28.200000000000003
"D",13751,28.799999999999997
"D",13752,26.400000000000002
"D",13753,28.799999999999997
"D",13754,28.799999999999997
"D",13755,28.799999999999997
"D",13756,25.799999999999997
"D",13757,25.200000000000003
"D",13758,24.0
"D",13759,24.0
"D",13760,22.799999999999997
"D",13761,22.799999999999997
"D",13762,27.0
"D",13763,24.599999999999998
"D",13764,24.599999999999998
"D",13765,22.799999999999997
"D",13766,30.599999999999998
"D",13767,30.0
"D",13768,30.599999999999998
"D",13769,30.0
"D",13770,32.400000000000006
"D",13771,31.799999999999997
"D",13772,27.599999999999998
"D",13773,29.400000000000002
